# x	y
2009.4	174.13
2007.8	174.41
2002.9	174.68
1994.8	174.91
1983.5	175.11
1969.1	175.28
1951.6	175.43
1931.1	175.54
1907.6	175.61
1881.3	175.66
1852.3	175.67
1820.6	175.66
1786.5	175.6
1750	175.52
1711.3	175.4
1670.5	175.26
1627.9	175.08
1583.5	174.87
1537.6	174.63
1490.4	174.37
1442	174.07
1392.7	173.75
1342.5	173.41
1291.8	173.04
1240.8	172.65
1189.6	172.24
1138.4	171.81
1087.6	171.37
1037.1	170.91
987.36	170.43
938.46	169.95
890.63	169.45
844.05	168.95
798.91	168.44
755.4	167.93
713.69	167.42
673.95	166.9
636.33	166.39
601	165.89
568.08	165.39
537.72	164.9
510.04	164.42
485.14	163.96
463.14	163.51
444.11	163.07
428.13	162.66
415.27	162.26
405.58	161.88
399.1	161.53
395.86	161.2
395.86	160.9
399.11	160.63
405.6	160.38
415.29	160.16
428.15	159.97
444.13	159.82
463.17	159.69
485.18	159.6
510.08	159.53
537.77	159.5
568.13	159.51
601.05	159.54
636.39	159.61
674	159.71
713.75	159.84
755.47	160
798.98	160.2
844.12	160.42
890.7	160.67
938.54	160.95
987.43	161.26
1037.2	161.59
1087.6	161.95
1138.5	162.33
1189.7	162.73
1240.9	163.14
1291.9	163.58
1342.6	164.04
1392.7	164.5
1442.1	164.98
1490.5	165.47
1537.7	165.97
1583.6	166.48
1627.9	166.99
1670.6	167.5
1711.3	168.02
1750	168.53
1786.5	169.03
1820.6	169.54
1852.3	170.03
1881.3	170.51
1907.6	170.99
1931.1	171.45
1951.6	171.89
1969.1	172.31
1983.6	172.72
1994.8	173.11
2002.9	173.47
2007.8	173.81
2009.4	174.13
